V,I,L,J mA cm^-2,photon flux s^-1 sr^-1,EQE %,luminous density L cd m^-2
4.3639,8.0059e-05,0.0041899999999999,2.001475,10363481697654.467,6.514902312429034,169.4023209247621
4.4448,8.9951e-05,0.00468,2.248775,11575440177810.04,6.476552695926802,189.2130935388796
4.526,0.00010069,0.005204,2.51725,12871493736180.223,6.433613888173795,210.3984911915234
4.6063,0.00011097,0.00579,2.77425,14320897143059.855,6.494968123135797,234.09055803207542
4.6874,0.00012347,0.0060319999999999,3.0867500000000003,14919456229177.135,6.081405057454446,243.8746538945519
4.7679,0.00013624,0.006971,3.406,17241964418699.523,6.369340902781219,281.83856304690806
4.8491,0.00015115,0.0076379999999999,3.7787499999999996,18891711982502.543,6.290360691491812,308.8054718910136
4.9299,0.00016655,0.00841,4.16375,20801164934910.773,6.285725408999802,340.0175462952944
5.0107,0.00018291,0.009184,4.572749999999999,22715564656625.508,6.2502655829606155,371.3104809959552
5.0916,0.00020125,0.010016,5.03125,24773420688236.184,6.195301877982628,404.94836429175604
5.1721,0.00022047,0.010868,5.51175,26880744412914.418,6.13626594871684,439.3948505513981
5.2533,0.00024131,0.011786,6.03275,29151311524715.617,6.079882180512353,476.5097265917169
5.3344,0.00026196,0.012792,6.5489999999999995,31639536486014.1,6.0786552790766475,517.1824556729375
5.4149,0.00028516,0.013845,7.1290000000000004,34244010526021.36,6.04377656405514,559.7554017191854
5.4956,0.00031035,0.0149459999999999,7.758749999999999,36967207029390.52,5.994835555201562,604.2689948786486
5.5767,0.00033759,0.016163,8.43975,39977316152552.055,5.95986531774107,653.4724852283998
5.6571,0.00036457,0.017412,9.11425,43066573584621.445,5.945272654479167,703.9697403202931
5.7382,0.00039521,0.018698,9.88025,46247346248865.83,5.889403046582411,755.9629108952928
5.8186,0.00042764,0.020048,10.691,49586415530926.42,5.835751347797082,810.5436109545851
5.8997,0.00046247,0.0214749999999999,11.56175,53115935431296.88,5.780343575330256,868.2374324246625
5.9805,0.00049941,0.023026,12.48525,56952155028686.74,5.739384391471041,930.9445922705646
6.0612,0.00053896,0.024582,13.474,60800741549343.23,5.677599137240868,993.8539028574228
6.1419,0.0005811,0.026238,14.527499999999998,64896666535337.56,5.620615782300338,1060.8062282634878
6.2223,0.00062577,0.0279899999999999,15.644250000000001,69230036448055.94,5.56790998943017,1131.6398478959875
6.3034,0.00067306,0.029767,16.8265,73625240977109.27,5.505355048707224,1203.4842212332967
6.3845,0.00072347,0.03163,18.086750000000002,78233156586352.88,5.442302920896781,1278.8055873151202
6.4649,0.00077554,0.033615,19.3885,83142825123308.64,5.39551568645011,1359.0594314763755
6.546,0.00083171,0.0356559999999999,20.79275,88191003200853.33,5.336601133149302,1441.577363936383
6.6268,0.00089076,0.03783,22.269,93568141437297.81,5.286639309922355,1529.4725061059435
6.7072,0.0009517,0.040012,23.7925,98965066750969.06,5.233524204269437,1617.6910894610364
6.7884,0.0010175,0.042322,25.437499999999996,104678585300272.73,5.177687216286486,1711.0847317847142
6.8687,0.0010961,0.04468,27.4025,110510826312938.55,5.074193596744441,1806.4190212216113
6.9499,0.0011667,0.045591,29.167499999999997,112764079732166.11,4.864340488296645,1843.2508862245854
7.031,0.0012415,0.048994,31.0375,121181007707612.19,4.912473495266095,1980.834680522194
7.1116,0.0013191,0.051547,32.9775,127495558727686.75,4.864404937336754,2084.052848856544
7.1924,0.001401,0.054155,35.02499999999999,133946145903697.12,4.811765690023195,2189.4946753414583
7.2732,0.0014864,0.056815,37.16,140525349081683.17,4.75807584578638,2297.03886953236
7.354,0.0015758,0.059578,39.395,147359310878967.2,4.706400377266527,2408.747368987045
7.4352,0.0016693,0.062356,41.7325,154230373446051.88,4.649945912070927,2521.0623206646105
7.5157,0.0017666,0.065178,44.165,161210264937885.2,4.592687016797369,2635.156198862627
7.5968,0.0018666,0.068063,46.665,168345979662881.3,4.5390385606900026,2751.7971763967444
7.6776,0.0019712,0.070971,49.28000000000001,175538582234905.2,4.481818658857218,2869.3680473392787
7.7581,0.0020777,0.073923,51.9425,182840013731677.66,4.428950127364662,2988.7178448022646
7.8393,0.0021903,0.076853,54.7575,190087030766075.8,4.367785157625147,3107.1781790050245
7.9198,0.0023048,0.07984,57.620000000000005,197475030725716.53,4.312124876276111,3227.943031654732
8.001,0.002424,0.08284,60.599999999999994,204895184685851.16,4.254137481674587,3349.2334762309374
