wave,lumi
424.912,5.16
425.126,-14.19
425.34,-29.67
425.553,7.09
425.767,47.73
425.981,-76.11
426.194,34.18
426.408,-43.21
426.621,61.27
426.835,3.22
427.049,-66.43
427.262,-45.15
427.476,-45.15
427.689,-27.73
427.903,-29.67
428.116,-103.2
428.33,-89.65
428.543,3.22
428.756,-45.15
428.97,-0.64
429.183,-107.07
429.397,-25.8
429.61,43.86
429.823,-19.99
430.037,-16.12
430.25,-39.34
430.463,-10.32
430.676,-33.54
430.89,9.03
431.103,-101.26
431.316,34.18
431.529,-2.58
431.743,-25.8
431.956,34.18
432.169,-16.12
432.382,-25.8
432.595,-49.02
432.808,-14.19
433.022,20.64
433.235,-47.08
433.448,1.29
433.661,-45.15
433.874,69.01
434.087,-68.37
434.3,61.27
434.513,-62.56
434.726,-31.6
434.939,7.09
435.152,18.7
435.365,14.83
435.578,-19.99
435.791,-0.64
436.003,-27.73
436.216,86.43
436.429,-47.08
436.642,20.64
436.855,22.57
437.068,12.9
437.281,-19.99
437.493,34.18
437.706,-10.32
437.919,30.31
438.132,36.12
438.344,47.73
438.557,12.9
438.77,-72.24
438.982,-19.99
439.195,12.9
439.408,10.96
439.62,-10.32
439.833,-52.89
440.046,-49.02
440.258,47.73
440.471,-29.67
440.683,39.99
440.896,-54.82
441.108,-25.8
441.321,-50.95
441.533,-12.25
441.746,-8.38
441.958,-81.91
442.171,39.99
442.383,-72.24
442.596,-68.37
442.808,57.4
443.02,-122.55
443.233,-54.82
443.445,-64.5
443.657,-8.38
443.87,-56.76
444.082,-105.13
444.294,-35.47
444.507,9.03
444.719,88.36
444.931,-37.41
445.143,5.16
445.356,-21.93
445.568,18.7
445.78,-52.89
445.992,7.09
446.204,9.03
446.416,-78.04
446.629,-56.76
446.841,-23.86
447.053,38.05
447.265,38.05
447.477,-62.56
447.689,-29.67
447.901,3.22
448.113,3.22
448.325,-12.25
448.537,-70.3
448.749,-4.51
448.961,-14.19
449.173,16.77
449.385,20.64
449.597,-23.86
449.809,-83.85
450.02,-16.12
450.232,53.53
450.444,9.03
450.656,-27.73
450.868,69.01
451.08,-58.69
451.291,61.27
451.503,-4.51
451.715,12.9
451.927,53.53
452.138,-10.32
452.35,-35.47
452.562,16.77
452.773,32.25
452.985,22.57
453.197,9.03
453.408,-25.8
453.62,45.79
453.832,-105.13
454.043,-58.69
454.255,49.66
454.466,12.9
454.678,-31.6
454.889,-2.58
455.101,-33.54
455.312,-6.45
455.524,5.16
455.735,-23.86
455.947,117.39
456.158,-60.63
456.37,34.18
456.581,-56.76
456.792,-12.25
457.004,80.62
457.215,34.18
457.426,47.73
457.638,-29.67
457.849,-56.76
458.06,32.25
458.272,-72.24
458.483,14.83
458.694,-4.51
458.905,24.51
459.116,-12.25
459.328,-52.89
459.539,41.92
459.75,-64.5
459.961,26.44
460.172,90.3
460.383,30.31
460.595,-18.06
460.806,63.21
461.017,-37.41
461.228,55.47
461.439,-23.86
461.65,5.16
461.861,-50.95
462.072,-8.38
462.283,-31.6
462.494,26.44
462.705,-56.76
462.916,-45.15
463.127,99.97
463.337,53.53
463.548,117.39
463.759,39.99
463.97,-8.38
464.181,-0.64
464.392,26.44
464.602,-0.64
464.813,-89.65
465.024,38.05
465.235,-12.25
465.446,-14.19
465.656,49.66
465.867,-45.15
466.078,-50.95
466.288,78.69
466.499,-47.08
466.71,-49.02
466.92,-23.86
467.131,-25.8
467.342,45.79
467.552,72.88
467.763,-68.37
467.973,14.83
468.184,-18.06
468.394,-4.51
468.605,67.08
468.815,-43.21
469.026,-31.6
469.236,74.82
469.447,70.95
469.657,-76.11
469.868,32.25
470.078,22.57
470.288,-29.67
470.499,-54.82
470.709,7.09
470.919,-62.56
471.13,34.18
471.34,34.18
471.55,34.18
471.761,7.09
471.971,-23.86
472.181,-130.29
472.391,-29.67
472.602,-25.8
472.812,72.88
473.022,22.57
473.232,-70.3
473.442,-27.73
473.652,1.29
473.863,-79.98
474.073,53.53
474.283,-66.43
474.493,9.03
474.703,-35.47
474.913,-72.24
475.123,41.92
475.333,82.56
475.543,-74.17
475.753,-60.63
475.963,-107.07
476.173,47.73
476.383,-29.67
476.593,-52.89
476.803,30.31
477.013,-66.43
477.222,76.75
477.432,53.53
477.642,-43.21
477.852,14.83
478.062,-33.54
478.272,-43.21
478.481,61.27
478.691,16.77
478.901,-78.04
479.111,47.73
479.32,24.51
479.53,-19.99
479.74,-23.86
479.949,-19.99
480.159,-97.39
480.369,-0.64
480.578,1.29
480.788,-23.86
480.998,-25.8
481.207,-64.5
481.417,-89.65
481.626,69.01
481.836,18.7
482.045,36.12
482.255,-49.02
482.464,67.08
482.674,-0.64
482.883,43.86
483.093,-10.32
483.302,9.03
483.511,-6.45
483.721,150.28
483.93,-49.02
484.14,55.47
484.349,-50.95
484.558,-62.56
484.768,-33.54
484.977,28.38
485.186,-8.38
485.395,1.29
485.605,-8.38
485.814,-91.59
486.023,1.29
486.232,53.53
486.442,-4.51
486.651,-105.13
486.86,30.31
487.069,3.22
487.278,30.31
487.487,51.6
487.696,12.9
487.905,18.7
488.114,101.91
488.324,10.96
488.533,-21.93
488.742,-10.32
488.951,5.16
489.16,-62.56
489.369,-14.19
489.577,49.66
489.786,-25.8
489.995,55.47
490.204,14.83
490.413,57.4
490.622,5.16
490.831,5.16
491.04,-47.08
491.249,-31.6
491.457,-10.32
491.666,12.9
491.875,-29.67
492.084,30.31
492.292,-19.99
492.501,-21.93
492.71,-6.45
492.919,57.4
493.127,84.49
493.336,16.77
493.545,-66.43
493.753,80.62
493.962,-60.63
494.171,-19.99
494.379,14.83
494.588,-10.32
494.796,9.03
495.005,-27.73
495.213,-6.45
495.422,-23.86
495.63,-21.93
495.839,-23.86
496.047,51.6
496.256,69.01
496.464,-4.51
496.673,-0.64
496.881,-4.51
497.089,43.86
497.298,-19.99
497.506,-25.8
497.715,34.18
497.923,-149.64
498.131,5.16
498.34,47.73
498.548,5.16
498.756,36.12
498.964,-21.93
499.173,-29.67
499.381,45.79
499.589,109.65
499.797,-68.37
500.005,34.18
500.213,38.05
500.422,111.58
500.63,76.75
500.838,-43.21
501.046,39.99
501.254,-23.86
501.462,-122.55
501.67,72.88
501.878,1.29
502.086,-27.73
502.294,65.14
502.502,80.62
502.71,-103.2
502.918,7.09
503.126,12.9
503.334,59.34
503.542,-95.46
503.75,-52.89
503.958,14.83
504.166,36.12
504.373,-56.76
504.581,16.77
504.789,-35.47
504.997,53.53
505.205,101.91
505.412,39.99
505.62,38.05
505.828,5.16
506.036,7.09
506.243,69.01
506.451,-58.69
506.659,-8.38
506.866,-2.58
507.074,123.19
507.282,-12.25
507.489,1.29
507.697,119.32
507.904,-41.28
508.112,45.79
508.319,94.17
508.527,45.79
508.735,43.86
